,GUID,GEOGID,GEOGDESC,0 - 9 years,10 - 19 years,20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over
0,2AE19629185813A3E055000000000001,ED3409_01001,Carlow Urban,449,455,960,704,570,513,401,334,174
1,2AE196291A5913A3E055000000000001,ED3409_01002,Graigue Urban,138,147,290,205,154,161,147,85,78
2,2AE19629186413A3E055000000000001,ED3409_01003,Clonmore,76,71,59,64,74,87,50,28,17
3,2AE19629187F13A3E055000000000001,ED3409_01004,Hacketstown,178,156,121,175,133,145,112,72,25
4,2AE19629188713A3E055000000000001,ED3409_01005,Haroldstown,38,50,35,23,54,40,22,27,7
5,2AE19629189713A3E055000000000001,ED3409_01006,Kineagh,36,51,36,43,54,56,28,26,13
6,2AE1962918B813A3E055000000000001,ED3409_01007,Rahill,123,93,70,95,130,78,82,36,22
7,2AE1962918C413A3E055000000000001,ED3409_01008,Rathvilly,154,140,83,120,135,100,83,37,23
8,2AE19629182213A3E055000000000001,ED3409_01009,Tiknock,45,54,22,41,60,42,41,22,5
9,2AE196291A5813A3E055000000000001,ED3409_01010,Williamstown,41,39,18,41,52,37,28,20,7
10,2AE19629183613A3E055000000000001,ED3409_01011,Agha,71,59,38,57,66,57,26,13,8
11,2AE19629183713A3E055000000000001,ED3409_01012,Ballinacarrig,154,140,84,140,138,162,108,72,27
12,2AE19629184013A3E055000000000001,ED3409_01013,Ballintemple,80,85,50,67,87,92,45,40,16
13,2AE19629184113A3E055000000000001,ED3409_01014,Ballon,131,93,56,128,111,71,58,40,29
14,2AE19629184213A3E055000000000001,ED3409_01015,Ballyellin,58,67,32,55,58,64,42,29,20
15,2AE19629184313A3E055000000000001,ED3409_01016,Ballymoon,58,39,31,53,55,49,29,17,13
16,2AE19629184E13A3E055000000000001,ED3409_01017,Borris,128,117,94,117,148,143,139,84,81
17,2AE19629184F13A3E055000000000001,ED3409_01018,Burton Hall,110,76,38,80,89,69,36,23,4
18,2AE19629185713A3E055000000000001,ED3409_01019,Carlow Rural,2357,2109,1852,2551,2070,1499,1146,647,315
19,2AE19629185913A3E055000000000001,ED3409_01020,Clogrenan,163,163,93,145,183,108,95,67,21
20,2AE19629185A13A3E055000000000001,ED3409_01021,Clonegall,156,125,89,166,132,135,112,61,25
21,2AE19629186613A3E055000000000001,ED3409_01022,Corries,84,64,47,71,89,65,61,43,13
22,2AE19629187213A3E055000000000001,ED3409_01023,Cranemore,216,117,108,189,124,122,126,66,35
23,2AE19629187313A3E055000000000001,ED3409_01024,Fennagh,139,103,81,135,138,64,68,44,9
24,2AE19629187413A3E055000000000001,ED3409_01025,Garryhill,70,82,60,66,76,100,71,36,19
25,2AE19629187E13A3E055000000000001,ED3409_01026,Grangeford,67,64,44,80,75,53,54,21,7
26,2AE19629188813A3E055000000000001,ED3409_01027,Johnstown,79,99,43,52,102,76,63,49,26
27,2AE19629188913A3E055000000000001,ED3409_01028,Kellistown,107,174,96,110,147,168,110,45,17
28,2AE19629188A13A3E055000000000001,ED3409_01029,Kilbride,69,51,37,53,60,69,67,27,5
29,2AE19629189513A3E055000000000001,ED3409_01030,Killedmond,49,57,33,72,63,64,42,19,6
30,2AE19629189613A3E055000000000001,ED3409_01031,Killerrig,47,64,40,35,67,56,34,24,6
31,2AE1962918A113A3E055000000000001,ED3409_01032,Leighlinbridge,210,231,172,221,290,210,162,93,52
32,2AE1962918AB13A3E055000000000001,ED3409_01033,Muinebeag (Bagenalstown) Rural,78,91,70,75,88,96,85,53,18
33,2AE1962918AC13A3E055000000000001,ED3409_01034,Muinebeag (Bagenalstown) Urban,379,341,327,434,321,367,295,189,99
34,2AE1962918AD13A3E055000000000001,ED3409_01035,Myshall,102,93,52,81,98,44,72,34,17
35,2AE1962918AE13A3E055000000000001,ED3409_01036,Nurney,96,148,95,82,148,133,75,54,24
36,2AE1962918B713A3E055000000000001,ED3409_01037,Oldleighlin,98,100,44,84,99,66,46,30,9
37,2AE1962918B913A3E055000000000001,ED3409_01038,Rathanna,13,15,6,18,18,17,20,9,6
38,2AE1962918C213A3E055000000000001,ED3409_01039,Rathornan,47,66,34,44,76,54,39,33,52
39,2AE1962918C313A3E055000000000001,ED3409_01040,Rathrush,191,226,73,141,214,120,71,51,23
40,2AE19629181613A3E055000000000001,ED3409_01041,Ridge,45,54,34,33,61,24,17,18,6
41,2AE19629181713A3E055000000000001,ED3409_01042,Shangarry,64,91,50,82,76,62,56,21,11
42,2AE19629181813A3E055000000000001,ED3409_01043,Sliguff,63,80,58,68,59,71,66,31,10
43,2AE19629182013A3E055000000000001,ED3409_01044,Tankardstown,76,60,41,54,73,55,37,26,15
44,2AE19629182113A3E055000000000001,ED3409_01045,Templepeter,46,69,31,50,64,61,57,32,9
45,2AE196291A5713A3E055000000000001,ED3409_01046,Tullowbeg,99,77,81,99,94,74,62,26,10
46,2AE196291A5513A3E055000000000001,ED3409_01047,Tullow Rural,107,82,88,111,108,122,116,64,48
47,2AE196291A5613A3E055000000000001,ED3409_01048,Tullow Urban,770,501,488,767,515,413,274,169,81
48,2AE19629184D13A3E055000000000001,ED3409_01049,Ballymurphy,52,36,18,35,42,38,24,24,6
49,2AE19629186513A3E055000000000001,ED3409_01050,Coonogue,26,26,18,27,28,38,30,8,7
50,2AE19629187D13A3E055000000000001,ED3409_01051,Glynn,48,51,34,53,44,49,50,28,22
51,2AE1962918A013A3E055000000000001,ED3409_01052,Kyle,50,48,27,33,45,49,28,23,17
52,2AE1962918A213A3E055000000000001,ED3409_01053,Marley,78,57,45,46,56,47,33,26,13
53,2AE19629182313A3E055000000000001,ED3409_01054,Tinnahinch,67,74,86,63,100,102,90,47,19
54,2AE196291CEB13A3E055000000000001,ED3409_02001,Arran Quay A,163,115,568,406,202,136,83,63,49
55,2AE196291CEC13A3E055000000000001,ED3409_02002,Arran Quay B,327,261,1206,1196,543,322,169,93,49
56,2AE196291CED13A3E055000000000001,ED3409_02003,Arran Quay C,255,215,1672,1382,474,265,125,65,18
57,2AE196291CEE13A3E055000000000001,ED3409_02004,Arran Quay D,219,170,616,730,480,376,277,172,69
58,2AE196291CEF13A3E055000000000001,ED3409_02005,Arran Quay E,279,173,642,958,453,279,250,158,101
59,2AE196291CF013A3E055000000000001,ED3409_02006,Ashtown A,1357,1115,1773,2379,1344,1254,586,402,356
60,2AE196291D0313A3E055000000000001,ED3409_02007,Ashtown B,324,203,325,447,379,383,232,172,178
61,2AE196291D0413A3E055000000000001,ED3409_02008,Ayrfield,735,700,727,869,769,683,700,372,84
62,2AE196291D0513A3E055000000000001,ED3409_02009,Ballybough A,430,386,753,754,479,429,242,145,100
63,2AE196291D0613A3E055000000000001,ED3409_02010,Ballybough B,275,226,1045,813,459,403,257,146,74
64,2AE196291D0813A3E055000000000001,ED3409_02011,Ballygall A,489,457,594,659,435,459,343,123,47
65,2AE196291D0913A3E055000000000001,ED3409_02012,Ballygall B,192,193,201,213,226,261,161,150,290
66,2AE196291D0713A3E055000000000001,ED3409_02013,Ballygall C,374,334,403,401,448,416,385,453,307
67,2AE196291D0A13A3E055000000000001,ED3409_02014,Ballygall D,333,251,308,346,378,325,259,203,128
